 ,Open,High,Low,Close,Volume,OpenInt
2002-01-01,null,null,null,null,null,0
2002-01-02,3243.840088,3280.429932,3243.320068,3269.159912,0,0
2002-01-03,3282.679932,3309.379883,3272.209961,3308.02002,0,0
2002-01-04,3323.550049,3393.659912,3323.550049,3375.73999,0,0
2002-01-07,3377.129883,3438.860107,3377.129883,3401.800049,0,0
2002-01-08,3407.570068,3454.5,3397.159912,3437.780029,0,0
2002-01-09,3440.439941,3466.72998,3392.610107,3400.889893,0,0
2002-01-10,3396.090088,3413.25,3371.909912,3381.959961,0,0
2002-01-11,3381.409912,3401.800049,3298.850098,3362.879883,0,0
2002-01-14,3373.689941,3446.919922,3373.689941,3407.840088,0,0
2002-01-15,3405.899902,3413.02002,3340.01001,3352.52002,0,0
2002-01-16,3357.169922,3393.340088,3331.399902,3348.800049,0,0
2002-01-17,3348.800049,3420.23999,3309.969971,3401.149902,0,0
2002-01-18,3408.280029,3439.830078,3366.139893,3377.050049,0,0
2002-01-21,3370.5,3396.919922,3369.72998,3382.290039,0,0
2002-01-22,3383,3402.919922,3365.01001,3368.280029,0,0
2002-01-23,3368.909912,3397.76001,3365.530029,3373.070068,0,0
2002-01-24,3380.75,3399.090088,3352.840088,3357.790039,0,0
2002-01-25,3358.199951,3366,3326.02002,3332.300049,0,0
2002-01-28,3338.370117,3363.169922,3312.73999,3317.639893,0,0
2002-01-29,3317.610107,3332.560059,3304.120117,3313.280029,0,0
2002-01-30,3302.72998,3309.97998,3275.580078,3298.790039,0,0
2002-01-31,3305.909912,3339.97998,3303.01001,3311.030029,0,0
2002-02-01,3334.689941,3356.050049,3325.97998,3333.919922,0,0
2002-02-04,3336.169922,3353.290039,3312.550049,3317.01001,0,0
2002-02-05,3316.419922,3322.429932,3290,3311.72998,0,0
2002-02-06,3329.22998,3433.02002,3329.22998,3427.389893,0,0
2002-02-07,3439.620117,3495.830078,3423.310059,3436.939941,0,0
2002-02-08,3444.889893,3514.75,3444.870117,3493.919922,0,0
2002-02-11,3500.409912,3551.949951,3500.409912,3515.449951,0,0
2002-02-12,3523.300049,3554.72998,3480.100098,3497.679932,0,0
2002-02-13,3504.889893,3535.570068,3504.889893,3519.870117,0,0
2002-02-14,3544.320068,3564.350098,3536.350098,3557.060059,0,0
2002-02-15,3560.97998,3612.830078,3560.97998,3602.02002,0,0
2002-02-18,3611.320068,3651.02002,3586.780029,3633.929932,0,0
2002-02-19,3641.780029,3652.76001,3588.929932,3597.610107,0,0
2002-02-20,3572.959961,3583.169922,3542.060059,3558.209961,0,0
2002-02-21,3569.949951,3590.98999,3558.820068,3570.459961,0,0
2002-02-22,3565.639893,3605.590088,3558.090088,3604.080078,0,0
2002-02-25,3610.209961,3618.300049,3580.889893,3613.51001,0,0
2002-02-26,3631.550049,3726.76001,3631.550049,3712.73999,0,0
2002-02-27,3721.439941,3758.110107,3677.620117,3705.659912,0,0
2002-02-28,3711.100098,3731.280029,3537.189941,3562.310059,0,0
2002-03-01,3551.560059,3693.919922,3551.560059,3678.75,0,0
2002-03-04,3734.040039,3758.27002,3635.379883,3642.580078,0,0
2002-03-05,3655.080078,3692.530029,3634.26001,3641.100098,0,0
2002-03-06,3647.090088,3656.870117,3585.830078,3614.439941,0,0
2002-03-07,3621.070068,3691.929932,3621.070068,3690.27002,0,0
2002-03-08,3692.610107,3703.790039,3645.899902,3656.77002,0,0
2002-03-11,3675.26001,3675.26001,3594.600098,3603.969971,0,0
2002-03-12,3603.159912,3603.159912,3522.909912,3535.800049,0,0
2002-03-13,3531.47998,3601.820068,3531.02002,3569.620117,0,0
2002-03-14,3573.97998,3590.429932,3562.169922,3580.830078,0,0
2002-03-15,3593.560059,3626.330078,3590.340088,3617.679932,0,0
2002-03-18,3633.370117,3663.399902,3603.97998,3613.280029,0,0
2002-03-19,3618.389893,3629.47998,3554.649902,3560.320068,0,0
2002-03-20,3576.22998,3587.199951,3556.73999,3581.320068,0,0
2002-03-21,3580.22998,3582.550049,3530.01001,3536.26001,0,0
2002-03-22,3555.379883,3555.379883,3506.550049,3516.110107,0,0
2002-03-25,null,null,null,null,null,0
2002-03-26,3517.360107,3566.080078,3461.090088,3466.290039,0,0
2002-03-27,3472.959961,3503.800049,3454.27002,3459.080078,0,0
2002-03-28,3464.320068,3499.530029,3462.120117,3469.350098,0,0
2002-03-29,null,null,null,null,null,0
2002-04-01,3482.939941,3519.320068,3482.939941,3500.179932,0,0
2002-04-02,3505.399902,3537.290039,3490.870117,3505.790039,0,0
2002-04-03,3500.76001,3500.76001,3458.850098,3462.98999,0,0
2002-04-04,3463.290039,3529.02002,3463.290039,3512.550049,0,0
2002-04-05,3516.429932,3538.48999,3499.060059,3500.570068,0,0
2002-04-08,3502.090088,3521.409912,3478.929932,3480.169922,0,0
2002-04-09,3482.51001,3491.600098,3447.780029,3463.330078,0,0
2002-04-10,3465.389893,3494.189941,3460.030029,3479.590088,0,0
2002-04-11,3482.439941,3512.280029,3482.439941,3497.669922,0,0
2002-04-12,3496.389893,3521.419922,3488.620117,3510.899902,0,0
2002-04-15,3514.01001,3533.02002,3454.97998,3461.51001,0,0
2002-04-16,3459.080078,3459.080078,3411.72998,3413.719971,0,0
2002-04-17,3444.090088,3458.790039,3412.709961,3421.820068,0,0
2002-04-18,3425.709961,3439.469971,3408.040039,3420.939941,0,0
2002-04-19,3420.040039,3430.370117,3359.23999,3364.399902,0,0
2002-04-22,3364.179932,3396.52002,3332.73999,3390.25,0,0
2002-04-23,3387.699951,3412.159912,3383.110107,3403.820068,0,0
2002-04-24,3408.840088,3420.969971,3401.550049,3411.919922,0,0
2002-04-25,3420.620117,3421.879883,3350.939941,3359.639893,0,0
2002-04-26,3364.179932,3383.709961,3362.830078,3371.699951,0,0
2002-04-29,3372.939941,3372.939941,3296.879883,3301.209961,0,0
2002-04-30,3303.100098,3340.360107,3303.100098,3338.159912,0,0
2002-05-01,null,null,null,null,null,0
2002-05-02,3361.330078,3383.929932,3357.76001,3372.560059,0,0
2002-05-03,3372.75,3385.219971,3364.850098,3380.610107,0,0
2002-05-06,3386.01001,3394.889893,3375.699951,3384.350098,0,0
2002-05-07,3378.219971,3425.5,3372.23999,3423.75,0,0
2002-05-08,3434.23999,3453.75,3432.540039,3435.060059,0,0
2002-05-09,3458.310059,3478.02002,3448.370117,3462.01001,0,0
2002-05-10,3454.850098,3456.780029,3414.370117,3431.320068,0,0
2002-05-13,3436.870117,3446.51001,3429.879883,3442.48999,0,0
2002-05-14,3450.580078,3458.580078,3412,3420.330078,0,0
2002-05-15,3422.070068,3435.679932,3382.110107,3395.590088,0,0
2002-05-16,3399.139893,3405.290039,3342.340088,3355.610107,0,0
2002-05-17,3357.290039,3373.399902,3310.860107,3333.76001,0,0
2002-05-20,3343.659912,3361.77002,3274.620117,3282.810059,0,0
2002-05-21,3266.159912,3266.159912,3127.870117,3186.530029,0,0
2002-05-22,3187.540039,3198.810059,3144.179932,3175.48999,0,0
2002-05-23,3193.639893,3193.639893,3106.560059,3114.050049,0,0
2002-05-24,3153.030029,3261.899902,3153.030029,3255.620117,0,0
2002-05-27,3264.189941,3264.189941,3200.939941,3243.409912,0,0
2002-05-28,3231.820068,3231.820068,3140.379883,3146.830078,0,0
2002-05-29,3155.669922,3179.850098,3108,3160.23999,0,0
2002-05-30,3161.909912,3192.5,3131.629883,3135.889893,0,0
2002-05-31,3136.409912,3140.030029,3097.72998,3125.72998,0,0
2002-06-03,3162.27002,3185.570068,3148.570068,3161.090088,0,0
2002-06-04,3161.429932,3195.560059,3161.429932,3191.600098,0,0
2002-06-05,3200.709961,3269.23999,3200.709961,3255.52002,0,0
2002-06-06,3277.350098,3282.350098,3229.379883,3259.310059,0,0
2002-06-07,3246.969971,3246.969971,3205.51001,3217.76001,0,0
2002-06-10,3231.090088,3283.25,3231.090088,3279.48999,0,0
2002-06-11,3339.959961,3368.560059,3323.370117,3362.419922,0,0
2002-06-12,3359.27002,3377.879883,3337.389893,3344.409912,0,0
2002-06-13,3358.969971,3369.629883,3307.159912,3311.159912,0,0
2002-06-14,3312.050049,3321.919922,3295.639893,3312.070068,0,0
2002-06-17,3350.030029,3350.439941,3318.699951,3323.5,0,0
2002-06-18,3337.320068,3361.72998,3282.320068,3284.540039,0,0
2002-06-19,3284.320068,3306.110107,3222.22998,3242.26001,0,0
2002-06-20,3223.469971,3276.060059,3223.469971,3264.02002,0,0
2002-06-21,3268.100098,3268.100098,3232.659912,3242.75,0,0
2002-06-24,3238.370117,3238.370117,3210.949951,3231.620117,0,0
2002-06-25,3226.209961,3244.330078,3193.679932,3214.340088,0,0
2002-06-26,3214.340088,3214.340088,3180.889893,3180.889893,0,0
2002-06-27,3199.030029,3221.600098,3189.959961,3217.149902,0,0
2002-06-28,3231.23999,3252.649902,3222.090088,3244.699951,0,0
2002-07-01,3246.439941,3293.209961,3246.439941,3288.709961,0,0
2002-07-02,3276.209961,3296.870117,3274.030029,3285.040039,0,0
2002-07-03,3283.030029,3314.22998,3279.830078,3310.189941,0,0
2002-07-04,3322.310059,3337.689941,3313.73999,3316.77002,0,0
2002-07-05,3322.139893,3334.870117,3309.610107,3330.610107,0,0
2002-07-08,3336.139893,3366.719971,3332.120117,3357.659912,0,0
2002-07-09,3356.850098,3361.919922,3343.100098,3358.580078,0,0
2002-07-10,3359.469971,3366.73999,3328.199951,3332.360107,0,0
2002-07-11,3332.149902,3332.149902,3287.909912,3290.560059,0,0
2002-07-12,3296.300049,3318.330078,3293.659912,3305.830078,0,0
2002-07-15,3302.639893,3305.850098,3258.719971,3278.709961,0,0
2002-07-16,3279.5,3286.939941,3224.350098,3229.179932,0,0
2002-07-17,3232.389893,3236.679932,3192.669922,3216.070068,0,0
2002-07-18,3224.22998,3253.399902,3215.330078,3245.73999,0,0
2002-07-19,3239.659912,3250.590088,3227.27002,3230.27002,0,0
2002-07-22,3212.830078,3212.830078,3147.370117,3153.340088,0,0
2002-07-23,3142.47998,3179.080078,3135.389893,3176.929932,0,0
2002-07-24,3163.449951,3167.600098,3105.199951,3107.47998,0,0
2002-07-25,3149.179932,3169.959961,3091.330078,3094.959961,0,0
2002-07-26,3079.330078,3084.340088,3011.889893,3024.350098,0,0
2002-07-29,3039.560059,3039.560059,2955.100098,3030.060059,0,0
2002-07-30,3043.22998,3080.699951,2983.100098,2990.909912,0,0
2002-07-31,2981.050049,2998.340088,2932.350098,2987.649902,0,0
2002-08-01,2998.459961,3018.52002,2965.969971,2975.810059,0,0
2002-08-02,2960.47998,2992.189941,2933.389893,2985.01001,0,0
2002-08-05,2996.889893,3018.709961,2980.48999,3011.350098,0,0
2002-08-06,2997.959961,3026.97998,2981.51001,3023.26001,0,0
2002-08-07,3042.280029,3055.219971,3004.120117,3009.47998,0,0
2002-08-08,3014.679932,3019.48999,2945.5,2950.090088,0,0
2002-08-09,2974.679932,2982.51001,2931.780029,2976.340088,0,0
2002-08-12,2972.590088,3014.300049,2972.590088,3007.850098,0,0
2002-08-13,3009.47998,3066.699951,3009.47998,3036.399902,0,0
2002-08-14,3032.98999,3037.370117,3013.159912,3020.699951,0,0
2002-08-15,null,null,null,null,null,0
2002-08-16,3031.23999,3070.860107,3031.23999,3065.899902,0,0
2002-08-19,3073.129883,3079.98999,3061.389893,3064.040039,0,0
2002-08-20,3071.129883,3094.800049,3067.919922,3089.580078,0,0
2002-08-21,3083.820068,3109.909912,3082.02002,3084.379883,0,0
2002-08-22,3094.179932,3109.719971,3077.889893,3080.699951,0,0
2002-08-23,3083,3120.689941,3083,3119.179932,0,0
2002-08-26,3119,3130.780029,3110.929932,3123.600098,0,0
2002-08-27,3128.409912,3142.52002,3093.899902,3097.850098,0,0
2002-08-28,3093.659912,3103.379883,3078.129883,3099.379883,0,0
2002-08-29,3099.120117,3117.530029,3091.560059,3114.159912,0,0
2002-08-30,3110.97998,3185.080078,3109.969971,3181.22998,0,0
2002-09-02,3206.810059,3227.620117,3179.330078,3187.26001,0,0
2002-09-03,3190.199951,3193.439941,3150.100098,3159.77002,0,0
2002-09-04,3145.340088,3180.600098,3126.75,3173.350098,0,0
2002-09-05,3185.320068,3197.290039,3166.219971,3181.469971,0,0
2002-09-06,3176.149902,3177.48999,3131.149902,3141.110107,0,0
2002-09-09,3121.899902,3126.300049,3081.629883,3089.469971,0,0
2002-09-10,null,null,null,null,null,0
2002-09-11,3096.929932,3130.409912,3096.929932,3125.659912,0,0
2002-09-12,3125.550049,3136.879883,3120.449951,3131.340088,0,0
2002-09-13,3115.97998,3127.290039,3093.709961,3098.939941,0,0
2002-09-16,3107.889893,3109.909912,3072.429932,3076.01001,0,0
2002-09-17,3078.159912,3107.889893,3078.159912,3103.899902,0,0
2002-09-18,3084.02002,3094.610107,3062.429932,3069.780029,0,0
2002-09-19,3071.100098,3071.100098,3027.5,3040.300049,0,0
2002-09-20,3010.139893,3030.800049,2993.780029,3024.350098,0,0
2002-09-23,3030.649902,3035.929932,3008.5,3021.280029,0,0
2002-09-24,3005.919922,3032.219971,2993.01001,3022.25,0,0
2002-09-25,2973.969971,3023.649902,2973.969971,3021.080078,0,0
2002-09-26,3011.419922,3038.060059,3011.419922,3014.689941,0,0
2002-09-27,3020.22998,3039.429932,3012.820068,3037.26001,0,0
2002-09-30,3029.560059,3029.560059,2988.429932,2991.360107,0,0
2002-10-01,2976.040039,2987.47998,2948.75,2959.659912,0,0
2002-10-02,null,null,null,null,null,0
2002-10-03,2963.610107,2970.290039,2921.689941,2938.060059,0,0
2002-10-04,2934.669922,2942.159912,2916.379883,2930.51001,0,0
2002-10-07,2939.179932,2957.98999,2927.469971,2952.780029,0,0
2002-10-08,2954.290039,2978.909912,2953.949951,2973.350098,0,0
2002-10-09,2982.01001,2992.909912,2953.129883,2956.889893,0,0
2002-10-10,2954.129883,2972.620117,2934.76001,2969.48999,0,0
2002-10-11,2990.98999,3005.780029,2989.060059,2995.77002,0,0
2002-10-14,2996.159912,3013.389893,2993.25,3003.389893,0,0
2002-10-15,null,null,null,null,null,0
2002-10-16,3024.98999,3031.01001,2991.919922,2994.98999,0,0
2002-10-17,2995.699951,3010.699951,2980.139893,3006.139893,0,0
2002-10-18,3027.899902,3038.919922,3002.120117,3009.76001,0,0
2002-10-21,3012.179932,3018.98999,2992.540039,2998.01001,0,0
2002-10-22,2996.439941,2996.860107,2963.02002,2965.969971,0,0
2002-10-23,2963.379883,2969.459961,2941.290039,2948.959961,0,0
2002-10-24,2944.280029,2958.01001,2906.199951,2908.050049,0,0
2002-10-25,2903.959961,2906.840088,2855.899902,2875.530029,0,0
2002-10-28,2876.320068,2876.320068,2828.47998,2834.409912,0,0
2002-10-29,2846.800049,2891.030029,2846.800049,2885.22998,0,0
2002-10-30,2898.02002,2908.209961,2884.209961,2888.590088,0,0
2002-10-31,2909.459961,2955.48999,2900.870117,2949.320068,0,0
2002-11-01,2956.939941,2962.320068,2928.629883,2950.580078,0,0
2002-11-04,2986.540039,2994.800049,2974.929932,2987.580078,0,0
2002-11-05,2993.580078,2993.580078,2967.189941,2982.389893,0,0
2002-11-06,null,null,null,null,null,0
2002-11-07,2983.73999,2993.610107,2958.320068,2975.26001,0,0
2002-11-08,2965.189941,2966.590088,2950.709961,2956.840088,0,0
2002-11-11,2954.98999,2959.120117,2942.459961,2948.040039,0,0
2002-11-12,2941.540039,2963.830078,2935.969971,2961.23999,0,0
2002-11-13,2972.350098,2977.669922,2957.189941,2960.659912,0,0
2002-11-14,2963.820068,2991.610107,2963.820068,2986.560059,0,0
2002-11-15,2997.469971,3037.610107,2997.469971,3033.909912,0,0
2002-11-18,3046.899902,3071.280029,3041.340088,3057.159912,0,0
2002-11-19,null,null,null,null,null,0
2002-11-20,3066.169922,3084.030029,3061.090088,3075.47998,0,0
2002-11-21,3089.51001,3110.379883,3089.51001,3101.360107,0,0
2002-11-22,3131.75,3162.659912,3130.75,3141.610107,0,0
2002-11-25,3146.929932,3183.290039,3140.310059,3175.560059,0,0
2002-11-26,3190.669922,3210.679932,3181.25,3187.76001,0,0
2002-11-27,3193.129883,3206.629883,3158,3174.110107,0,0
2002-11-28,3192.120117,3229.75,3192.120117,3220.75,0,0
2002-11-29,3224.97998,3245.379883,3195.600098,3228.820068,0,0
2002-12-02,3247.600098,3277.370117,3238.889893,3270.360107,0,0
2002-12-03,3276.699951,3292.26001,3223.030029,3230.139893,0,0
2002-12-04,3243.860107,3243.860107,3189.139893,3207.360107,0,0
2002-12-05,3186.620117,3250.25,3186.620117,3229.72998,0,0
2002-12-06,3235.679932,3309.800049,3235.679932,3306.290039,0,0
2002-12-09,3320.870117,3349.360107,3264.76001,3269.310059,0,0
2002-12-10,3256.629883,3294.689941,3241.399902,3289.679932,0,0
2002-12-11,3298.939941,3324.22998,3287.280029,3303.27002,0,0
2002-12-12,3309.199951,3331.27002,3299.47998,3324.47998,0,0
